"Stock Ticker" "Company Name" "Key People" "Alternative Names"
"BAC" "Bank of America" "Brian Moynihan" "BofA"
"F" "Ford Motor" "William Ford, Mark Fields" "Ford"
"FCX" "Freeport McMoRan" "Gerald Ford, Richard Adkerson, Kathleen Quirk" "Freeport, Freeport-McMoRan"
"JCP" "J.C. Penney" "Marvin Ellison, Myron Ullman" "Penney"
"VALE" "Vale" "Murilo Ferreira, Luciano Siani" ""
"CHK" "Chesapeake Energy" "Archie Dunham, Robert Lawler, Douglas Jacobson, Domenic Dell'Osso, Douglas Jacobson" "Chesapeake"
"WFC" "Wells Fargo" "Stephen Sanger, Elizabeth Duke, Timothy Sloan" ""
"PBR" "Petroleo Brasileiro" "Pedro Parente, Ivan de Souza Monteiro" "Petrobras"
"C" "Citigroup" "Michael O'Neill, Michael Corbat" ""
"PFE" "Pfizer" "Ian Read" ""
"ABX" "Barrick Gold" "John Thornton, Kelvin Dushnisky, Richard Williams, Shaun Usmar" "Barrick"
"GM" "General Motors" "Mary Barra, Dan Ammann" ""
"WFT" "Weatherford International" "Bernard Danner" "Weatherford"
"AKS" "AK Steel" "Roger Newport, Kirk Reich, James Wainscott" ""
"ABEV" "Ambev" "Bernardo Paiva" ""
"CX" "Cemex" "Rogelio Lozano, Fernando Gonzalez, Jose Gonzalez " ""
"MT" "ArcelorMittal" "Lakshmi Mittal, Aditya Mittal" ""
"JPM" "J.P. Morgan Chase" "Jamie Dimon, Marianne Lake" "J.P.Morgan, JPMorgan, "
"AUY" "Yamana Gold" "Peter Marrone" "Yamana"
"T" "AT&T" "Randall Stephenson" ""
"BABA" "Alibaba" "Jack Ma, Daniel Zhang, Joseph Tsai" ""
"DIS" "Walt Disney" "Robert Iger" "Disney"
"MS" "Morgan Stanley" "James Gorman, Colm Kelleher, Jonathan Pruzan, Thomas Nides" ""
"VRX" "Valeant Pharmaceuticals" "Joseph Papa, Paul Herendeen " "Valeant"
"FCAU" "Fiat Chrysler" "John Elkann, Sergio Marchionne" "Fiat, Chrysler"
"X" "U.S. Steel" "David Sutherland, Mario Longhi" ""
"RAD" "Rite Aid" "John Standley, Ken Martindale, Frank Vitrano" ""
"ITUB" "Itau Unibanco" "Joao Salles, Pedro Salles, Pedro Malan" "Itau"
"KGC" "Kinross Gold" "Paul Rollinson" "Kinross"
"GGB" "Gerdau ADR" "Jorge Johannpeter, Andre Johannpeter" "Gerdau"
"WLL" "Whiting Petroleum" "James Volker" ""
"GG" "Goldcorp" "David Garofalo, Ian Telfer" ""
"KMI" "Kinder Morgan" "Richard Kinder, Steve Kean, Kim Dang" ""
"VZ" "Verizon" "Lowell McAdam" ""
"CFG" "Citizens Financial Group" "Bruce Saun" "Citizens Financial, Citizens Bank"
"CLF" "Cliffs Natural Resources" "Lourenco Goncalves, Terry Fedor, James Graham, Maurice Harapiak, Terrence Mee, Clifford Smith, Kelly Tompkins" ""
"KORS" "Michael Kors Holdings" "John Idol, Michael Kors" "Michael Kors"
"SYF" "Synchrony Financial" "Margaret Keane" ""
"TWTR" "Twitter" "Omid Kordestani, Jack Dorsey" ""
"TCK" "Teck Resources" "Norman Keevil, Donald Lindsay, Ronald Millos" ""
"BBY" "Best Buy" "Hubert Joly, Sharon McCollam" ""
"RIG" "Transocean" "Jeremy Thigpen, Merrill Miller, Mark Mey, John Stobart" ""
