"titles" "pubdates" "links" "Trade.Time" "Last" "Trade.Time.1" "Last.1" "Trade.Time.2" "Last.2"
1 "Disney enjoys best ever year at box office" "Wed, 02 Nov 2016 18:38:03 GMT" NA "Nov 2, 2:39PM EDT" 92.31 "Nov 2, 2:59PM EDT" 92.1 "Nov 2, 3:39PM EDT"
2 "Alibaba beats revenue expectations with strong e-commerce, media growth" "Wed, 02 Nov 2016 18:48:32 GMT" NA "Nov 2, 2:49PM EDT" 98.48 "Nov 2, 3:09PM EDT" 99.08 "Nov 2, 3:49PM EDT"
3 "M Science And Yipit Wrong Yet Again, This Time On Alibaba" "Wed, 02 Nov 2016 18:48:00 GMT" NA "Nov 2, 2:49PM EDT" 98.48 "Nov 2, 3:09PM EDT" 99.08 "Nov 2, 3:49PM EDT"
4 "Disney enjoys best ever year at box office" "Wed, 02 Nov 2016 18:40:18 GMT" NA "Nov 2, 2:52PM EDT" 98.68 "Nov 2, 3:12PM EDT" 98.74 "Nov 2, 3:52PM EDT"
5 "Alibaba sales growth soars into the cloud" "Wed, 02 Nov 2016 18:35:51 GMT" NA "Nov 2, 2:52PM EDT" 92.17 "Nov 2, 3:12PM EDT" 92.03 "Nov 2, 3:52PM EDT"
6 "Valeant is being sued by the investors who backed <U+0098>female Viagra" "Wed, 02 Nov 2016 18:50:42 GMT" NA "Nov 2, 2:53PM EDT" 6.76 "Nov 2, 3:12PM EDT" 6.76 "Nov 2, 3:53PM EDT"
7 "Alibaba beats revenue expectations with strong e-commerce, media growth" "Wed, 02 Nov 2016 18:48:32 GMT" NA "Nov 2, 2:53PM EDT" 98.57 "Nov 2, 3:13PM EDT" 98.83 "Nov 2, 3:53PM EDT"
8 "M Science And Yipit Wrong Yet Again, This Time On Alibaba" "Wed, 02 Nov 2016 18:48:00 GMT" NA "Nov 2, 2:53PM EDT" 98.57 "Nov 2, 3:13PM EDT" 98.83 "Nov 2, 3:53PM EDT"
9 "DOJ Files Antitrust Lawsuit Vs. AT&T-DirecTV Over L.A. Sports Channel" "Wed, 02 Nov 2016 18:51:36 GMT" NA "Nov 2, 2:55PM EDT" 36.44 "Nov 2, 3:15PM EDT" 36.4 "Nov 2, 3:55PM EDT"
10 "How Southern Companys Dividend Compares to Its Peers" "Wed, 02 Nov 2016 19:04:05 GMT" NA "Nov 2, 3:07PM EDT" 50.16 "Nov 2, 3:27PM EDT" 50.29 "Nov 2, 4:00PM EDT"
11 "Kroger's ClickList service hits milestone" "Wed, 02 Nov 2016 19:05:12 GMT" NA "Nov 2, 3:10PM EDT" 32.32 "Nov 2, 3:30PM EDT" 32.27 "Nov 2, 4:00PM EDT"
12 "How Southern Companys Dividend Compares to Its Peers" "Wed, 02 Nov 2016 19:04:05 GMT" NA "Nov 2, 3:11PM EDT" 36.39 "Nov 2, 3:31PM EDT" 36.44 "Nov 2, 4:00PM EDT"
13 "DOJ Files Antitrust Lawsuit Vs. AT&T-DirecTV Over L.A. Sports Channel" "Wed, 02 Nov 2016 18:51:36 GMT" NA "Nov 2, 3:11PM EDT" 3.66 "Nov 2, 3:31PM EDT" 3.62 "Nov 2, 4:03PM EDT"
14 "Valeant is being sued by the investors who backed <U+0098>female Viagra" "Wed, 02 Nov 2016 18:50:42 GMT" NA "Nov 2, 3:11PM EDT" 6.75 "Nov 2, 3:31PM EDT" 6.74 "Nov 2, 4:02PM EDT"
15 "Alibaba beats revenue expectations with strong e-commerce, media growth" "Wed, 02 Nov 2016 18:48:32 GMT" NA "Nov 2, 3:11PM EDT" 6.75 "Nov 2, 3:31PM EDT" 6.74 "Nov 2, 4:02PM EDT"
